,ADDRESS,ADDRESS,CITY,CITY,travel_time,URL,URL,LOCATION,LOCATION,travel_cost,travel_seconds,travel_minutes,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,SOURCE,MLS#,FAVORITE,INTERESTED
0,246 Monte Vista Ln,246 Monte Vista Ln,DALY CITY,DALY CITY,1 hour 4 mins,http://www.redfin.com/CA/Daly-City/246-Monte-Vista-Ln-94015/home/922403,http://www.redfin.com/CA/Daly-City/246-Monte-Vista-Ln-94015/home/922403,"37.658315,-122.46321599999999",DALY CITY,$7.00,3835,63.916666666666664,Active,,,MLSListings,ML81794298,Y,Y
1,1950 Evergreen Ave,1950 Evergreen Ave,San Leandro,San Leandro,1 hour 7 mins,http://www.redfin.com/CA/San-Leandro/1950-Evergreen-Ave-94577/home/1939632,http://www.redfin.com/CA/San-Leandro/1950-Evergreen-Ave-94577/home/1939632,"37.722626500000004,-122.13685929999998",Assumption Parsh,,4002,66.7,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905479,N,Y
2,9648 Dunbar Dr,9648 Dunbar Dr,Oakland,Oakland,1 hour 2 mins,http://www.redfin.com/CA/Oakland/9648-Dunbar-Dr-94603/home/28697352,http://www.redfin.com/CA/Oakland/9648-Dunbar-Dr-94603/home/28697352,"37.74118370000001,-122.1787301",Stonehurst,,3741,62.35,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40904884,N,Y
3,2543 Lancaster Rd,2543 Lancaster Rd,Hayward,Hayward,1 hour 22 mins,http://www.redfin.com/CA/Hayward/2543-Lancaster-Rd-94542/home/1735096,http://www.redfin.com/CA/Hayward/2543-Lancaster-Rd-94542/home/1735096,"37.6647434,-122.0515834",Woodland Estates,,4906,81.76666666666667,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906691,N,Y
4,1021 E 23rd St,1021 E 23rd St,Oakland,Oakland,42 mins,http://www.redfin.com/CA/Oakland/1021-E-23rd-St-94606/home/533684,http://www.redfin.com/CA/Oakland/1021-E-23rd-St-94606/home/533684,"37.7975023,-122.2410824",Clinton,,2501,41.68333333333333,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906683,N,Y
5,1867 Pleasant Hill Rd,1867 Pleasant Hill Rd,Pleasant Hill,Pleasant Hill,9 hours 41 mins,http://www.redfin.com/CA/Pleasant-Hill/1867-Pleasant-Hill-Rd-94523/home/1887593,http://www.redfin.com/CA/Pleasant-Hill/1867-Pleasant-Hill-Rd-94523/home/1887593,"37.9338641,-122.08545330000001",Pleasant Hill,$9.30,34844,580.7333333333333,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906165,N,Y
6,1060 69Th Ave,1060 69Th Ave,Oakland,Oakland,40 mins,http://www.redfin.com/CA/Oakland/1060-69th-Ave-94621/home/1995369,http://www.redfin.com/CA/Oakland/1060-69th-Ave-94621/home/1995369,"37.758351,-122.193427",Oakland,$5.00,2380,39.666666666666664,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906616,N,Y
7,10 Harbor View Dr,10 Harbor View Dr,Richmond,Richmond,1 hour 38 mins,http://www.redfin.com/CA/Richmond/10-Harbor-View-Dr-94804/home/1602293,http://www.redfin.com/CA/Richmond/10-Harbor-View-Dr-94804/home/1602293,"37.9084159,-122.3492108",Sunset Pointe,,5884,98.06666666666666,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906607,N,Y
8,14869 Midland Rd,14869 Midland Rd,San Leandro,San Leandro,1 hour 11 mins,http://www.redfin.com/CA/San-Leandro/14869-Midland-Rd-94578/home/1966058,http://www.redfin.com/CA/San-Leandro/14869-Midland-Rd-94578/home/1966058,"37.712603200000004,-122.1233501",Hill Crest Knoll,,4268,71.13333333333334,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906603,N,Y
9,26732 Gaither Way,26732 Gaither Way,Hayward,Hayward,1 hour 15 mins,http://www.redfin.com/CA/Hayward/26732-Gaither-Way-94544/home/1006020,http://www.redfin.com/CA/Hayward/26732-Gaither-Way-94544/home/1006020,"37.6386135,-122.0823686",Schafer Park,,4502,75.03333333333333,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906589,N,Y
10,1076 24th St,1076 24th St,Oakland,Oakland,45 mins,http://www.redfin.com/CA/Oakland/1076-24th-St-94607/home/18293162,http://www.redfin.com/CA/Oakland/1076-24th-St-94607/home/18293162,"37.817040000000006,-122.28178899999999",Alameda County,,2729,45.483333333333334,Active,,,BAREIS,22011832,N,Y
11,1532 Via Rancho,1532 Via Rancho,San Lorenzo,San Lorenzo,1 hour 18 mins,http://www.redfin.com/CA/San-Lorenzo/1532-Via-Rancho-94580/home/1314921,http://www.redfin.com/CA/San-Lorenzo/1532-Via-Rancho-94580/home/1314921,"37.6759053,-122.1439707",San Lorenzo Vilg,,4650,77.5,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906509,N,Y
12,1715 MacArthur Blvd,1715 MacArthur Blvd,Oakland,Oakland,50 mins,http://www.redfin.com/CA/Oakland/1715-MacArthur-Blvd-94602/home/1329278,http://www.redfin.com/CA/Oakland/1715-MacArthur-Blvd-94602/home/1329278,"37.799910499999996,-122.2213585",Oakland,,2991,49.85,Active,,,San Francisco MLS,498915,N,Y
13,67 Werner Ave,67 Werner Ave,Daly City,Daly City,36 mins,http://www.redfin.com/CA/Daly-City/67-Werner-Ave-94014/home/12225757,http://www.redfin.com/CA/Daly-City/67-Werner-Ave-94014/home/12225757,"37.692184000000005,-122.46774350000001",Original Daly City,$4.40,2173,36.21666666666667,Active,,,San Francisco MLS,498904,N,Y
14,2122 69th Ave,2122 69th Ave,Oakland,Oakland,58 mins,http://www.redfin.com/CA/Oakland/2122-69th-Ave-94621/home/1363281,http://www.redfin.com/CA/Oakland/2122-69th-Ave-94621/home/1363281,"37.765415600000004,-122.18265359999998",Oakland,,3471,57.85,Active,,,San Francisco MLS,498620,N,Y
15,2512 Cole St,2512 Cole St,Oakland,Oakland,1 hour 14 mins,http://www.redfin.com/CA/Oakland/2512-Cole-St-94601/home/1817069,http://www.redfin.com/CA/Oakland/2512-Cole-St-94601/home/1817069,"37.7758841,-122.1972416",Maxwell  Park,,4453,74.21666666666667,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906452,N,Y
16,14271 Acapulco Rd,14271 Acapulco Rd,San Leandro,San Leandro,1 hour 5 mins,http://www.redfin.com/CA/San-Leandro/14271-Acapulco-Rd-94577/home/1765258,http://www.redfin.com/CA/San-Leandro/14271-Acapulco-Rd-94577/home/1765258,"37.6940947,-122.1789287",Marina Faire,,3889,64.81666666666666,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906414,N,Y
17,27442 Capri Ave,27442 Capri Ave,Hayward,Hayward,1 hour 29 mins,http://www.redfin.com/CA/Hayward/27442-Capri-Ave-94545/home/1452007,http://www.redfin.com/CA/Hayward/27442-Capri-Ave-94545/home/1452007,"37.6262305,-122.1044033",Hayward,,5331,88.85,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906369,N,Y
18,16093 Mills Ave,16093 Mills Ave,San Lorenzo,San Lorenzo,49 mins,http://www.redfin.com/CA/San-Lorenzo/16093-Mills-Ave-94580/home/1747890,http://www.redfin.com/CA/San-Lorenzo/16093-Mills-Ave-94580/home/1747890,"37.691054,-122.1235497",San Lorenzo Mano,$5.60,2913,48.55,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906356,N,Y
19,2511 Bradford Ave,2511 Bradford Ave,Hayward,Hayward,1 hour 32 mins,http://www.redfin.com/CA/Hayward/2511-Bradford-Ave-94545/home/1011114,http://www.redfin.com/CA/Hayward/2511-Bradford-Ave-94545/home/1011114,"37.6358424,-122.1085746",Glen Eden,,5513,91.88333333333334,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906352,N,Y
20,622 Western Dr,622 Western Dr,Point Richmond,Point Richmond,1 hour 17 mins,http://www.redfin.com/CA/Richmond/622-Western-Dr-94801/home/1963143,http://www.redfin.com/CA/Richmond/622-Western-Dr-94801/home/1963143,"37.928527,-122.392676",Contra Costa,,4636,77.26666666666667,Active,,,BAREIS,22011694,N,Y
21,1035 Via Palma,1035 Via Palma,San Lorenzo,San Lorenzo,1 hour 26 mins,http://www.redfin.com/CA/San-Lorenzo/1035-Via-Palma-94580/home/1420002,http://www.redfin.com/CA/San-Lorenzo/1035-Via-Palma-94580/home/1420002,"37.6692445,-122.12827479999999",San Lorenzo Vilg,,5173,86.21666666666667,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906308,N,Y
22,4812 Walnut St,4812 Walnut St,Oakland,Oakland,57 mins,http://www.redfin.com/CA/Oakland/4812-Walnut-St-94619/home/1422517,http://www.redfin.com/CA/Oakland/4812-Walnut-St-94619/home/1422517,"37.7797326,-122.19941409999998",Maxwell  Park,,3400,56.666666666666664,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906294,N,Y
23,145 Elysian Fields Dr,145 Elysian Fields Dr,Oakland,Oakland,1 hour 33 mins,http://www.redfin.com/CA/Oakland/145-Elysian-Fields-Dr-94605/home/601451,http://www.redfin.com/CA/Oakland/145-Elysian-Fields-Dr-94605/home/601451,"37.7601448,-122.13668179999999",Sequoyah Hghlds,,5600,93.33333333333333,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906278,Y,Y
24,3917 Keller Ave,3917 Keller Ave,Oakland,Oakland,1 hour 11 mins,http://www.redfin.com/CA/Oakland/3917-Keller-Ave-94605/home/1618964,http://www.redfin.com/CA/Oakland/3917-Keller-Ave-94605/home/1618964,"37.7714254,-122.1572862",Melrose Highlnds,,4272,71.2,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906275,N,Y
25,2635 Havenscourt Blvd,2635 Havenscourt Blvd,Oakland,Oakland,1 hour 2 mins,http://www.redfin.com/CA/Oakland/2635-Havenscourt-Blvd-94605/home/570658,http://www.redfin.com/CA/Oakland/2635-Havenscourt-Blvd-94605/home/570658,"37.76829179999999,-122.18398390000002",Havenscourt,,3722,62.03333333333333,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905494,N,Y
26,1920 Bandoni Ave,1920 Bandoni Ave,San Lorenzo,San Lorenzo,1 hour 26 mins,http://www.redfin.com/CA/San-Lorenzo/1920-Bandoni-Ave-94580/home/935289,http://www.redfin.com/CA/San-Lorenzo/1920-Bandoni-Ave-94580/home/935289,"37.667190999999995,-122.14326940000001",Lorenzo Village,,5188,86.46666666666667,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906239,N,Y
27,411 Elmwood Ln,411 Elmwood Ln,Hayward,Hayward,1 hour 13 mins,http://www.redfin.com/CA/Hayward/411-Elmwood-Ln-94541/home/954733,http://www.redfin.com/CA/Hayward/411-Elmwood-Ln-94541/home/954733,"37.6632081,-122.1026283",Hayward,,4395,73.25,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906236,N,Y
28,1339 Hermosa Ave,1339 Hermosa Ave,PACIFICA,PACIFICA,1 hour 17 mins,http://www.redfin.com/CA/Pacifica/1339-Hermosa-Ave-94044/home/658347,http://www.redfin.com/CA/Pacifica/1339-Hermosa-Ave-94044/home/658347,"37.5892105,-122.49676170000001",PACIFICA,$6.25,4599,76.65,Active,,,MLSListings,ML81793417,N,Y
29,692 Hutchings Dr,692 Hutchings Dr,SAN LEANDRO,SAN LEANDRO,1 hour 1 min,http://www.redfin.com/CA/San-Leandro/692-Hutchings-Dr-94577/home/1403077,http://www.redfin.com/CA/San-Leandro/692-Hutchings-Dr-94577/home/1403077,"37.724393799999994,-122.17759840000002",SAN LEANDRO,,3663,61.05,Active,,,MLSListings,ML81794139,N,Y
30,15538 Lorenzo Ave,15538 Lorenzo Ave,San Lorenzo,San Lorenzo,1 hour 6 mins,http://www.redfin.com/CA/San-Lorenzo/15538-Lorenzo-Ave-94580/home/542301,http://www.redfin.com/CA/San-Lorenzo/15538-Lorenzo-Ave-94580/home/542301,"37.6840444,-122.13884909999999",San Lorenzo Vilg,,3947,65.78333333333333,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905188,N,Y
31,1872 E St,1872 E St,Hayward,Hayward,1 hour 12 mins,http://www.redfin.com/CA/Hayward/1872-E-St-94541/home/1349477,http://www.redfin.com/CA/Hayward/1872-E-St-94541/home/1349477,"37.6747456,-122.06334809999998",Fairview,,4309,71.81666666666666,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906179,N,Y
32,4804 Seaview Ave,4804 Seaview Ave,Castro Valley,Castro Valley,1 hour 33 mins,http://www.redfin.com/CA/Castro-Valley/4804-Seaview-Ave-94546/home/1633213,http://www.redfin.com/CA/Castro-Valley/4804-Seaview-Ave-94546/home/1633213,"37.714079999999996,-122.073299",Upper Redwood,,5553,92.55,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906178,N,Y
33,2251 Sol St,2251 Sol St,San Leandro,San Leandro,1 hour 10 mins,http://www.redfin.com/CA/San-Leandro/2251-Sol-St-94578/home/793629,http://www.redfin.com/CA/San-Leandro/2251-Sol-St-94578/home/793629,"37.712739,-122.1217972",Hillcrest Crest,,4174,69.56666666666666,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906173,N,Y
34,47 Margrave Ct,47 Margrave Ct,Walnut Creek,Walnut Creek,1 hour 48 mins,http://www.redfin.com/CA/Walnut-Creek/47-Margrave-Ct-94597/home/852997,http://www.redfin.com/CA/Walnut-Creek/47-Margrave-Ct-94597/home/852997,"37.9184834,-122.07535559999998",Walnut Creek,$8.70,6471,107.85,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905925,N,Y
35,6825 Armour Dr,6825 Armour Dr,Oakland,Oakland,1 hour 46 mins,http://www.redfin.com/CA/Oakland/6825-Armour-Dr-94611/home/2014048,http://www.redfin.com/CA/Oakland/6825-Armour-Dr-94611/home/2014048,"37.837223,-122.2037147",Montclair,,6330,105.5,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906154,Y,Y
36,6509 Canyon Trl,6509 Canyon Trl,El Cerrito,El Cerrito,54 mins,http://www.redfin.com/CA/El-Cerrito/6509-Canyon-Trl-94530/home/1136172,http://www.redfin.com/CA/El-Cerrito/6509-Canyon-Trl-94530/home/1136172,"37.9315191,-122.31735069999999",El Cerrito,$5.30,3231,53.85,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906056,N,Y
37,840 34th Ave,840 34th Ave,Oakland,Oakland,34 mins,http://www.redfin.com/CA/Oakland/840-34th-Ave-94601/home/1096551,http://www.redfin.com/CA/Oakland/840-34th-Ave-94601/home/1096551,"37.773275500000004,-122.2258355",Fruitvale,$4.70,2059,34.31666666666667,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906046,N,Y
38,31219 Fredi St,31219 Fredi St,Union City,Union City,1 hour 25 mins,http://www.redfin.com/CA/Union-City/31219-Fredi-St-94587/home/1271561,http://www.redfin.com/CA/Union-City/31219-Fredi-St-94587/home/1271561,"37.593123999999996,-122.077933",Alameda County,,5077,84.61666666666666,Active,,,BAREIS,22011452,N,Y
39,2424 Kingsland Ave,2424 Kingsland Ave,Oakland,Oakland,1 hour 11 mins,http://www.redfin.com/CA/Oakland/2424-Kingsland-Ave-94601/home/1224168,http://www.redfin.com/CA/Oakland/2424-Kingsland-Ave-94601/home/1224168,"37.773985499999995,-122.1966209",Maxwell  Park,,4245,70.75,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906016,N,Y
40,353 S 24Th St,353 S 24Th St,Richmond,Richmond,1 hour 6 mins,http://www.redfin.com/CA/Richmond/353-S-24th-St-94804/home/1520947,http://www.redfin.com/CA/Richmond/353-S-24th-St-94804/home/1520947,"37.9269935,-122.3469638",South Richmond,$5.55,3952,65.86666666666666,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906014,N,Y
41,1051 67Th St,1051 67Th St,Oakland,Oakland,56 mins,http://www.redfin.com/CA/Oakland/1051-67th-St-94608/home/1630651,http://www.redfin.com/CA/Oakland/1051-67th-St-94608/home/1630651,"37.850079,-122.28343500000001",Nobe,,3388,56.46666666666667,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905155,N,Y
42,6625 Hillmont Dr,6625 Hillmont Dr,OAKLAND,OAKLAND,1 hour 6 mins,http://www.redfin.com/CA/Oakland/6625-Hillmont-Dr-94605/home/786998,http://www.redfin.com/CA/Oakland/6625-Hillmont-Dr-94605/home/786998,"37.7757076,-122.170902",OAKLAND,,3953,65.88333333333334,Active,,,MLSListings,ML81793589,N,Y
43,550 E 20Th St,550 E 20Th St,Oakland,Oakland,41 mins,http://www.redfin.com/CA/Oakland/550-E-20th-St-94606/home/1962518,http://www.redfin.com/CA/Oakland/550-E-20th-St-94606/home/1962518,"37.799134499999994,-122.24726470000002",Ivy Hill,,2460,41.0,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906000,N,Y
44,8507 Thermal St,8507 Thermal St,Oakland,Oakland,1 hour 12 mins,http://www.redfin.com/CA/Oakland/8507-Thermal-St-94605/home/1975338,http://www.redfin.com/CA/Oakland/8507-Thermal-St-94605/home/1975338,"37.7603686,-122.1621206",Toler Heights,,4335,72.25,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905964,N,Y
45,15023 Costela St,15023 Costela St,San Leandro,San Leandro,1 hour 9 mins,http://www.redfin.com/CA/San-Leandro/15023-Costela-St-94579/home/1438305,http://www.redfin.com/CA/San-Leandro/15023-Costela-St-94579/home/1438305,"37.6905594,-122.15693130000001",Washington Manor,,4133,68.88333333333334,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905940,N,Y
46,3300 35th Ave,3300 35th Ave,Oakland,Oakland,49 mins,http://www.redfin.com/CA/Oakland/3300-35th-Ave-94619/home/1702306,http://www.redfin.com/CA/Oakland/3300-35th-Ave-94619/home/1702306,"37.7916031,-122.203759",Oakland,,2941,49.016666666666666,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905918,N,Y
47,1570 142nd Ave,1570 142nd Ave,SAN LEANDRO,SAN LEANDRO,57 mins,http://www.redfin.com/CA/San-Leandro/1570-142nd-Ave-94578/home/734446,http://www.redfin.com/CA/San-Leandro/1570-142nd-Ave-94578/home/734446,"37.714099,-122.1359942",SAN LEANDRO,,3444,57.4,Active,,,MLSListings,ML81793783,N,Y
48,133 Mecartney Rd,133 Mecartney Rd,Alameda,Alameda,1 hour 4 mins,http://www.redfin.com/CA/Alameda/133-Mecartney-Rd-94502/home/1459959,http://www.redfin.com/CA/Alameda/133-Mecartney-Rd-94502/home/1459959,"37.7347301,-122.23558659999999",Alameda,,3815,63.583333333333336,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905849,N,Y
49,8239 Golf Links Rd,8239 Golf Links Rd,Oakland,Oakland,1 hour 11 mins,http://www.redfin.com/CA/Oakland/8239-Golf-Links-Rd-94605/home/1422808,http://www.redfin.com/CA/Oakland/8239-Golf-Links-Rd-94605/home/1422808,"37.762401399999995,-122.16340679999999",East Oakland,,4236,70.6,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905838,N,Y
50,2975 Cesar Chavez,2975 Cesar Chavez,San Francisco,San Francisco,22 mins,http://www.redfin.com/CA/San-Francisco/2975-Cesar-Chavez-94110/home/1231917,http://www.redfin.com/CA/San-Francisco/2975-Cesar-Chavez-94110/home/1231917,"37.748130100000004,-122.409255",Bernal Heights,$3.00,1341,22.35,Active,,,San Francisco MLS,495413,N,Y
51,1522 Felton St,1522 Felton St,San Francisco,San Francisco,41 mins,http://www.redfin.com/CA/San-Francisco/1522-Felton-St-94134/home/1543739,http://www.redfin.com/CA/San-Francisco/1522-Felton-St-94134/home/1543739,"37.7262326,-122.41993719999999",Portola,$3.00,2438,40.63333333333333,Active,,,San Francisco MLS,498618,N,Y
52,16067 Via Toledo,16067 Via Toledo,San Lorenzo,San Lorenzo,1 hour 12 mins,http://www.redfin.com/CA/San-Lorenzo/16067-Via-Toledo-94580/home/1751162,http://www.redfin.com/CA/San-Lorenzo/16067-Via-Toledo-94580/home/1751162,"37.681411499999996,-122.12062140000002",San Lorenzo Vilg,,4322,72.03333333333333,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905760,N,Y
53,9411 Castlewood St,9411 Castlewood St,Oakland,Oakland,1 hour 14 mins,http://www.redfin.com/CA/Oakland/9411-Castlewood-St-94605/home/843944,http://www.redfin.com/CA/Oakland/9411-Castlewood-St-94605/home/843944,"37.7560687,-122.1527176",Castlewood,,4441,74.01666666666667,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905714,N,Y
54,252 Florida Ave,252 Florida Ave,SAN BRUNO,SAN BRUNO,56 mins,http://www.redfin.com/CA/San-Bruno/252-Florida-Ave-94066/home/642430,http://www.redfin.com/CA/San-Bruno/252-Florida-Ave-94066/home/642430,"37.6223473,-122.40884229999999",SAN BRUNO,$7.40,3382,56.36666666666667,Active,,,MLSListings,ML81793570,N,Y
55,3200 Guido St,3200 Guido St,Oakland,Oakland,1 hour 0 mins,http://www.redfin.com/CA/Oakland/3200-Guido-St-94602/home/542669,http://www.redfin.com/CA/Oakland/3200-Guido-St-94602/home/542669,"37.8041754,-122.19271909999999",Redwood Heights,,3585,59.75,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905687,Y,Y
56,3044 El Monte Ave,3044 El Monte Ave,Oakland,Oakland,1 hour 19 mins,http://www.redfin.com/CA/Oakland/3044-El-Monte-Ave-94605/home/1363379,http://www.redfin.com/CA/Oakland/3044-El-Monte-Ave-94605/home/1363379,"37.764511,-122.1589273",King Estates,,4755,79.25,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905685,Y,Y
57,2624 INYO Ave,2624 INYO Ave,Oakland,Oakland,51 mins,http://www.redfin.com/CA/Oakland/2624-Inyo-Ave-94601/home/22718575,http://www.redfin.com/CA/Oakland/2624-Inyo-Ave-94601/home/22718575,"37.792353000000006,-122.22661699999999",Meadowbrook,,3038,50.63333333333333,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905676,N,Y
