,ADDRESS,ADDRESS,CITY,CITY,travel_time,URL,URL,LOCATION,LOCATION,travel_cost,travel_seconds,travel_minutes,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,SOURCE,MLS#,FAVORITE,INTERESTED
116,,,Richmond,Richmond,1 hour 3 mins,http://www.redfin.com/CA/Richmond/Undisclosed-address-94804/home/1725362,http://www.redfin.com/CA/Richmond/Undisclosed-address-94804/home/1725362,"37.918818,-122.32896299999999",South & East,$5.30,3768,62.8,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40902117,N,Y
117,1215 Gomer St,1215 Gomer St,HAYWARD,HAYWARD,1 hour 13 mins,http://www.redfin.com/CA/Hayward/1215-Gomer-St-94544/home/1006162,http://www.redfin.com/CA/Hayward/1215-Gomer-St-94544/home/1006162,"37.636083899999996,-122.08172990000001",HAYWARD,,4352,72.53333333333333,Active,,,MLSListings,ML81789794,N,Y
118,3833 Midvale,3833 Midvale,Oakland,Oakland,53 mins,http://www.redfin.com/CA/Oakland/3833-Midvale-Ave-94602/home/1833078,http://www.redfin.com/CA/Oakland/3833-Midvale-Ave-94602/home/1833078,"37.7965629,-122.1981284",Oakland,,3164,52.733333333333334,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40901801,N,Y
119,2406 E 24Th St,2406 E 24Th St,Oakland,Oakland,51 mins,http://www.redfin.com/CA/Oakland/2406-E-24th-St-94601/home/1117694,http://www.redfin.com/CA/Oakland/2406-E-24th-St-94601/home/1117694,"37.7895365,-122.2268993",E Oakland,,3052,50.86666666666667,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40901582,N,Y
120,2175 High St,2175 High St,Oakland,Oakland,46 mins,http://www.redfin.com/CA/Oakland/2175-High-St-94601/home/1831488,http://www.redfin.com/CA/Oakland/2175-High-St-94601/home/1831488,"37.7784148,-122.2085027",Jefferson,,2774,46.233333333333334,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40901438,N,Y
121,,,Oakland,Oakland,48 mins,http://www.redfin.com/CA/Oakland/Undisclosed-address-94606/home/842253,http://www.redfin.com/CA/Oakland/Undisclosed-address-94606/home/842253,"37.79097279999999,-122.22857250000001",Oakland,,2877,47.95,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40901079,N,Y
122,5625 Market St,5625 Market St,Oakland,Oakland,53 mins,http://www.redfin.com/CA/Oakland/5625-Market-St-94608/home/530476,http://www.redfin.com/CA/Oakland/5625-Market-St-94608/home/530476,"37.840709000000004,-122.27444960000001",Nobe,,3161,52.68333333333333,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40900920,N,Y
123,1902 Barton Way,1902 Barton Way,Hayward,Hayward,1 hour 21 mins,http://www.redfin.com/CA/Hayward/1902-Barton-Way-94545/home/895445,http://www.redfin.com/CA/Hayward/1902-Barton-Way-94545/home/895445,"37.6434946,-122.1155632",Mt Eden,,4868,81.13333333333334,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40900612,N,Y
124,1257 95th Ave,1257 95th Ave,Oakland,Oakland,58 mins,http://www.redfin.com/CA/Oakland/1257-95th-Ave-94603/home/1001368,http://www.redfin.com/CA/Oakland/1257-95th-Ave-94603/home/1001368,"37.745632,-122.17435",East Oakland,,3487,58.11666666666667,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40900517,N,Y
125,1801 Vicksburg Ave,1801 Vicksburg Ave,Oakland,Oakland,1 hour 6 mins,http://www.redfin.com/CA/Oakland/1801-Vicksburg-Ave-94601/home/556466,http://www.redfin.com/CA/Oakland/1801-Vicksburg-Ave-94601/home/556466,"37.771957799999996,-122.20327140000002",Oakland,,3958,65.96666666666667,Active,,,CRMLS,WS20062419,N,Y
126,2326 MYRTLE St,2326 MYRTLE St,Oakland,Oakland,1 hour 1 min,http://www.redfin.com/CA/Oakland/2326-Myrtle-St-94607/home/1575223,http://www.redfin.com/CA/Oakland/2326-Myrtle-St-94607/home/1575223,"37.8158782,-122.27909050000001",West Oakland,,3632,60.53333333333333,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40899585,N,Y
127,37 Seabreeze Dr,37 Seabreeze Dr,RICHMOND,RICHMOND,1 hour 32 mins,http://www.redfin.com/CA/Richmond/37-Seabreeze-Dr-94804/home/1917820,http://www.redfin.com/CA/Richmond/37-Seabreeze-Dr-94804/home/1917820,"37.9093628,-122.3407983",RICHMOND,,5541,92.35,Active,,,MLSListings,ML81786622,N,Y
128,414 Culp Ave,414 Culp Ave,Hayward,Hayward,1 hour 14 mins,http://www.redfin.com/CA/Hayward/414-Culp-Ave-94544/home/651860,http://www.redfin.com/CA/Hayward/414-Culp-Ave-94544/home/651860,"37.6527276,-122.0758216",Hayward,,4458,74.3,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40898974,N,Y
129,2075 Quesada Ave,2075 Quesada Ave,San Francisco,San Francisco,30 mins,http://www.redfin.com/CA/San-Francisco/2075-Quesada-Ave-94124/home/1231834,http://www.redfin.com/CA/San-Francisco/2075-Quesada-Ave-94124/home/1231834,"37.737195,-122.39878700000001",Silver Terrace,$3.00,1817,30.283333333333335,Active,,,San Francisco MLS,495976,N,Y
130,3162 Brent Ct,3162 Brent Ct,Castro Valley,Castro Valley,1 hour 23 mins,http://www.redfin.com/CA/Castro-Valley/3162-Brent-Ct-94546/home/715952,http://www.redfin.com/CA/Castro-Valley/3162-Brent-Ct-94546/home/715952,"37.7082613,-122.09264309999999",Castro Valley,,4978,82.96666666666667,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40898201,N,Y
131,439 Douglas Ave,439 Douglas Ave,Oakland,Oakland,51 mins,http://www.redfin.com/CA/Oakland/439-Douglas-Ave-94603/home/1761650,http://www.redfin.com/CA/Oakland/439-Douglas-Ave-94603/home/1761650,"37.731011200000005,-122.1822102",Oakland,,3088,51.46666666666667,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40897956,N,Y
132,16669 Winding,16669 Winding,San Leandro,San Leandro,1 hour 17 mins,http://www.redfin.com/CA/San-Leandro/16669-Winding-Blvd-94578/home/1123642,http://www.redfin.com/CA/San-Leandro/16669-Winding-Blvd-94578/home/1123642,"37.6994344,-122.1008088",Alameda County,,4597,76.61666666666666,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40897952,N,Y
133,9440 Mountain Blvd,9440 Mountain Blvd,Oakland,Oakland,1 hour 14 mins,http://www.redfin.com/CA/Oakland/9440-Mountain-Blvd-94605/home/1870110,http://www.redfin.com/CA/Oakland/9440-Mountain-Blvd-94605/home/1870110,"37.7585018,-122.147173",Alameda County,,4432,73.86666666666666,Active,,,BAREIS,22005059,N,Y
134,2155 42 Ave,2155 42 Ave,Oakland,Oakland,49 mins,http://www.redfin.com/CA/Oakland/2155-42nd-Ave-94601/home/2013657,http://www.redfin.com/CA/Oakland/2155-42nd-Ave-94601/home/2013657,"37.7784564,-122.2098327",Alameda County,,2938,48.96666666666667,Active,,,BAREIS,22005035,N,Y
135,508 Monogram Rd,508 Monogram Rd,San Leandro,San Leandro,57 mins,http://www.redfin.com/CA/San-Leandro/508-Monogram-Rd-94578/home/1214585,http://www.redfin.com/CA/San-Leandro/508-Monogram-Rd-94578/home/1214585,"37.7035696,-122.1434912",Medallion,,3428,57.13333333333333,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40897662,N,Y
136,1649 72nd St,1649 72nd St,Oakland,Oakland,53 mins,http://www.redfin.com/CA/Oakland/1649-72nd-Ave-94621/home/528711,http://www.redfin.com/CA/Oakland/1649-72nd-Ave-94621/home/528711,"37.7614698,-122.18593500000001",Eastmont,,3198,53.3,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40896643,N,Y
137,895 47Th St,895 47Th St,Oakland,Oakland,52 mins,http://www.redfin.com/CA/Oakland/895-47th-St-94608/home/1306392,http://www.redfin.com/CA/Oakland/895-47th-St-94608/home/1306392,"37.8357141,-122.27276599999999",Nr Child.Hosp,,3109,51.81666666666667,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40896255,N,Y
138,6327 E 17Th St,6327 E 17Th St,Oakland,Oakland,52 mins,http://www.redfin.com/CA/Oakland/6327-E-17th-St-94621/home/1256833,http://www.redfin.com/CA/Oakland/6327-E-17th-St-94621/home/1256833,"37.76413370000001,-122.1949361",Seminary,$5.00,3098,51.63333333333333,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40896171,N,Y
139,4023 Suter St,4023 Suter St,Oakland,Oakland,55 mins,http://www.redfin.com/CA/Oakland/4023-Suter-St-94619/home/1957436,http://www.redfin.com/CA/Oakland/4023-Suter-St-94619/home/1957436,"37.787701,-122.200744",Fairview Distric,,3290,54.833333333333336,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40895922,N,Y
140,257 Smalley Ave,257 Smalley Ave,Hayward,Hayward,1 hour 0 mins,http://www.redfin.com/CA/Hayward/257-Smalley-Ave-94541/home/1925288,http://www.redfin.com/CA/Hayward/257-Smalley-Ave-94541/home/1925288,"37.668368799999996,-122.0980574",Cherryland,$5.95,3594,59.9,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40895767,N,Y
141,2090 Hillside Dr,2090 Hillside Dr,San Leandro,San Leandro,1 hour 17 mins,http://www.redfin.com/CA/San-Leandro/2090-Hillside-Dr-94577/home/1983812,http://www.redfin.com/CA/San-Leandro/2090-Hillside-Dr-94577/home/1983812,"37.723611600000005,-122.1330662",Bay O Vista,,4609,76.81666666666666,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40895740,N,Y
142,5733 E 17,5733 E 17,Oakland,Oakland,59 mins,http://www.redfin.com/CA/Oakland/5733-E-17th-St-94621/home/1891698,http://www.redfin.com/CA/Oakland/5733-E-17th-St-94621/home/1891698,"37.7673745,-122.19867079999999",Oakland,,3568,59.46666666666667,Active,,,San Francisco MLS,495035,N,Y
143,1364 E 32Nd St,1364 E 32Nd St,Oakland,Oakland,46 mins,http://www.redfin.com/CA/Oakland/1364-E-32nd-St-94602/home/1670647,http://www.redfin.com/CA/Oakland/1364-E-32nd-St-94602/home/1670647,"37.8004466,-122.23217379999998",Bella Vista Hill,,2740,45.666666666666664,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40895584,N,Y
144,3030 Nicol Ave,3030 Nicol Ave,Oakland,Oakland,52 mins,http://www.redfin.com/CA/Oakland/3030-Nicol-Ave-94602/home/1970379,http://www.redfin.com/CA/Oakland/3030-Nicol-Ave-94602/home/1970379,"37.7930161,-122.21439879999998",Oakland,,3102,51.7,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40895274,N,Y
145,"914 Blenheim St Unit 914,916","914 Blenheim St Unit 914,916",Oakland,Oakland,1 hour 3 mins,http://www.redfin.com/CA/Oakland/914-Blenheim-St-94603/unit-914-916/home/170503888,http://www.redfin.com/CA/Oakland/914-Blenheim-St-94603/unit-914-916/home/170503888,"37.7340599,-122.17232109999999",San Leandro Brdr,,3763,62.71666666666667,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40894504,N,Y
146,1839 9th Ave,1839 9th Ave,Oakland,Oakland,40 mins,http://www.redfin.com/CA/Oakland/1839-9th-Ave-94606/home/533087,http://www.redfin.com/CA/Oakland/1839-9th-Ave-94606/home/533087,"37.796034399999996,-122.24634520000001",Oakland,,2387,39.78333333333333,Active,,,CRMLS,PW20026631,N,Y
147,2271 Washington Ave,2271 Washington Ave,SAN LEANDRO,SAN LEANDRO,50 mins,http://www.redfin.com/CA/San-Leandro/2271-Washington-Ave-94577/home/170376260,http://www.redfin.com/CA/San-Leandro/2271-Washington-Ave-94577/home/170376260,"37.71602120000001,-122.1510321",SAN LEANDRO,$5.40,2985,49.75,Active,,,MLSListings,ML81780820,N,Y
148,3800 Magee Ave,3800 Magee Ave,Oakland,Oakland,51 mins,http://www.redfin.com/CA/Oakland/3800-Magee-Ave-94619/home/547845,http://www.redfin.com/CA/Oakland/3800-Magee-Ave-94619/home/547845,"37.794427500000005,-122.1970643",Upper Laurel,,3076,51.266666666666666,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40892499,N,Y
149,27427 Patrick Ave,27427 Patrick Ave,Hayward,Hayward,1 hour 5 mins,http://www.redfin.com/CA/Hayward/27427-Patrick-Ave-94544/home/1374529,http://www.redfin.com/CA/Hayward/27427-Patrick-Ave-94544/home/1374529,"37.6325032,-122.07977199999999",A Street,,3928,65.46666666666667,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40891731,N,Y
150,2634 Highland Ave,2634 Highland Ave,Oakland,Oakland,52 mins,http://www.redfin.com/CA/Oakland/2634-Highland-Ave-94606/home/1936406,http://www.redfin.com/CA/Oakland/2634-Highland-Ave-94606/home/1936406,"37.794382899999995,-122.2295477",Alameda County,,3120,52.0,Active,,,BAREIS,21930864,N,Y
151,22592 Pearl Ave,22592 Pearl Ave,Hayward,Hayward,1 hour 17 mins,http://www.redfin.com/CA/Hayward/22592-Pearl-Ave-94541/home/954531,http://www.redfin.com/CA/Hayward/22592-Pearl-Ave-94541/home/954531,"37.6839854,-122.0645467",Downtown Hayward,,4601,76.68333333333334,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40890973,N,Y
152,4431 Penniman Ave,4431 Penniman Ave,Oakland,Oakland,53 mins,http://www.redfin.com/CA/Oakland/4431-Penniman-Ave-94619/home/559924,http://www.redfin.com/CA/Oakland/4431-Penniman-Ave-94619/home/559924,"37.782515000000004,-122.19945849999999",Maxwell  Park,,3165,52.75,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40890376,N,Y
153,10633 PEARMAIN St,10633 PEARMAIN St,Oakland,Oakland,1 hour 7 mins,http://www.redfin.com/CA/Oakland/10633-Pearmain-St-94603/home/1727606,http://www.redfin.com/CA/Oakland/10633-Pearmain-St-94603/home/1727606,"37.7335425,-122.1757358",Oakland,,4024,67.06666666666666,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40887307,N,Y
154,2726 60Th Ave,2726 60Th Ave,Oakland,Oakland,1 hour 3 mins,http://www.redfin.com/CA/Oakland/2726-60th-Ave-94605/home/1363222,http://www.redfin.com/CA/Oakland/2726-60th-Ave-94605/home/1363222,"37.772038200000004,-122.1878417",Seminary,,3786,63.1,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40887113,N,Y
155,669 Catron Dr,669 Catron Dr,Oakland,Oakland,49 mins,http://www.redfin.com/CA/Oakland/669-Catron-Dr-94603/home/1290037,http://www.redfin.com/CA/Oakland/669-Catron-Dr-94603/home/1290037,"37.7284085,-122.1720107",El Sobrante Park,,2956,49.266666666666666,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40887020,N,Y
156,2922 Parker Ave,2922 Parker Ave,Oakland,Oakland,1 hour 10 mins,http://www.redfin.com/CA/Oakland/2922-Parker-Ave-94605/home/1963068,http://www.redfin.com/CA/Oakland/2922-Parker-Ave-94605/home/1963068,"37.7672261,-122.1659348",Oakland,,4224,70.4,Active,,,San Francisco MLS,491292,N,Y
157,4344 Overend Ave,4344 Overend Ave,Richmond,Richmond,56 mins,http://www.redfin.com/CA/Richmond/4344-Overend-Ave-94804/home/1881353,http://www.redfin.com/CA/Richmond/4344-Overend-Ave-94804/home/1881353,"37.9260938,-122.3283113",South Richmond,$5.30,3376,56.266666666666666,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40884993,N,Y
158,2757 106thh,2757 106thh,Oakland,Oakland,1 hour 6 mins,http://www.redfin.com/CA/Oakland/2757-106th-Ave-94605/home/1843763,http://www.redfin.com/CA/Oakland/2757-106th-Ave-94605/home/1843763,"37.744493799999994,-122.1502669",Elmhurst,,3933,65.55,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40881823,N,Y
159,1749 24Th Ave,1749 24Th Ave,Oakland,Oakland,47 mins,http://www.redfin.com/CA/Oakland/1749-24th-Ave-94601/home/909190,http://www.redfin.com/CA/Oakland/1749-24th-Ave-94601/home/909190,"37.7857576,-122.23146470000002",East Oakland,,2846,47.43333333333333,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40873157,N,Y
160,24203 2nd St,24203 2nd St,Hayward,Hayward,1 hour 8 mins,http://www.redfin.com/CA/Hayward/24203-2nd-St-94541/home/168818738,http://www.redfin.com/CA/Hayward/24203-2nd-St-94541/home/168818738,"37.669989,-122.07225700000001",Parkside Heights,,4081,68.01666666666667,Active,,,NewHomeSource.com,1861276,N,Y
161,24205 2nd St,24205 2nd St,Hayward,Hayward,1 hour 9 mins,http://www.redfin.com/CA/Hayward/24205-2nd-St-94541/home/168818739,http://www.redfin.com/CA/Hayward/24205-2nd-St-94541/home/168818739,"37.669949,-122.072177",Parkside Heights,,4118,68.63333333333334,Active,,,NewHomeSource.com,1861277,N,Y
162,24211 2nd St,24211 2nd St,Hayward,Hayward,1 hour 9 mins,http://www.redfin.com/CA/Hayward/24211-2nd-St-94541/home/168818742,http://www.redfin.com/CA/Hayward/24211-2nd-St-94541/home/168818742,"37.669828,-122.07193500000001",Parkside Heights,,4139,68.98333333333333,Active,,,NewHomeSource.com,1861278,N,Y
163,24215 2nd St,24215 2nd St,Hayward,Hayward,1 hour 12 mins,http://www.redfin.com/CA/Hayward/24215-2nd-St-94541/home/168818744,http://www.redfin.com/CA/Hayward/24215-2nd-St-94541/home/168818744,"37.669748,-122.071774",Parkside Heights,,4344,72.4,Active,,,NewHomeSource.com,1805428,N,Y
164,Plan 3,Plan 3,Hayward,Hayward,1 hour 9 mins,http://www.redfin.com/CA/Hayward/Parkside-Heights/Plan-3/home/169892129,http://www.redfin.com/CA/Hayward/Parkside-Heights/Plan-3/home/169892129,"37.6698066,-122.07297379999999",Parkside Heights,,4156,69.26666666666667,Active,,,NewHomeSource.com,Plan-121579170,N,Y
165,Plan 2,Plan 2,Hayward,Hayward,1 hour 9 mins,http://www.redfin.com/CA/Hayward/Parkside-Heights/Plan-2/home/169958594,http://www.redfin.com/CA/Hayward/Parkside-Heights/Plan-2/home/169958594,"37.6698066,-122.07297379999999",Parkside Heights,,4156,69.26666666666667,Active,,,NewHomeSource.com,Plan-121579169,N,Y
166,Plan 1,Plan 1,Hayward,Hayward,1 hour 9 mins,http://www.redfin.com/CA/Hayward/Parkside-Heights/Plan-1/home/169958596,http://www.redfin.com/CA/Hayward/Parkside-Heights/Plan-1/home/169958596,"37.6698066,-122.07297379999999",Parkside Heights,,4156,69.26666666666667,Active,,,NewHomeSource.com,Plan-121579168,N,Y
167,Infinity 1000,Infinity 1000,San Francisco,San Francisco,20 mins,http://www.redfin.com/CA/San-Francisco/Gaia-Homes/Infinity-1000/home/169599461,http://www.redfin.com/CA/San-Francisco/Gaia-Homes/Infinity-1000/home/169599461,"37.798864,-122.43771699999999",Gaia Homes,$4.50,1194,19.9,Active,,,NewHomeSource.com,Plan-121706986,N,Y
168,Orion 1200,Orion 1200,San Francisco,San Francisco,20 mins,http://www.redfin.com/CA/San-Francisco/Gaia-Homes/Orion-1200/home/169599460,http://www.redfin.com/CA/San-Francisco/Gaia-Homes/Orion-1200/home/169599460,"37.798864,-122.43771699999999",Gaia Homes,$4.50,1194,19.9,Active,,,NewHomeSource.com,Plan-121706987,N,Y
169,Newport Residence 2,Newport Residence 2,Newark,Newark,,http://www.redfin.com/CA/Newark/Compass-Bay/Newport-Residence-2/home/171821108,http://www.redfin.com/CA/Newark/Compass-Bay/Newport-Residence-2/home/171821108,"37.518159999999995,-122.054325",Compass Bay,,,,Active,,,NewHomeSource.com,Plan-111801792,N,Y
170,Atlantis 975,Atlantis 975,San Francisco,San Francisco,19 mins,http://www.redfin.com/CA/San-Francisco/Gaia-Homes/Atlantis-975/home/169599462,http://www.redfin.com/CA/San-Francisco/Gaia-Homes/Atlantis-975/home/169599462,"37.798864,-122.43771699999999",Gaia Homes,$4.50,1134,18.9,Active,,,NewHomeSource.com,Plan-121706985,N,Y
171,Savannah 875,Savannah 875,San Francisco,San Francisco,19 mins,http://www.redfin.com/CA/San-Francisco/Gaia-Homes/Savannah-875/home/169599463,http://www.redfin.com/CA/San-Francisco/Gaia-Homes/Savannah-875/home/169599463,"37.798864,-122.43771699999999",Gaia Homes,$4.50,1134,18.9,Active,,,NewHomeSource.com,Plan-121706984,N,Y
172,Stellar 820,Stellar 820,San Francisco,San Francisco,19 mins,http://www.redfin.com/CA/San-Francisco/Gaia-Homes/Stellar-820/home/169599464,http://www.redfin.com/CA/San-Francisco/Gaia-Homes/Stellar-820/home/169599464,"37.798864,-122.43771699999999",Gaia Homes,$4.50,1134,18.9,Active,,,NewHomeSource.com,Plan-121706983,N,Y
173,Residence 3 WLH,Residence 3 WLH,Richmond,Richmond,1 hour 25 mins,http://www.redfin.com/CA/Richmond/Rows-at-NOMA/Residence-3-WLH/home/170540836,http://www.redfin.com/CA/Richmond/Rows-at-NOMA/Residence-3-WLH/home/170540836,"37.920715,-122.35547700000001",Rows at NOMA,,5111,85.18333333333334,Active,,,NewHomeSource.com,Plan-121781294,N,Y
174,Plan 5 WLH,Plan 5 WLH,Hayward,Hayward,1 hour 4 mins,http://www.redfin.com/CA/Hayward/SoHay-Line/Plan-5-WLH/home/170540844,http://www.redfin.com/CA/Hayward/SoHay-Line/Plan-5-WLH/home/170540844,"37.632475,-122.049066",SoHay Line,$6.25,3856,64.26666666666667,Active,,,NewHomeSource.com,Plan-121781292,N,Y
175,Plan 3 Modeled,Plan 3 Modeled,Hayward,Hayward,1 hour 3 mins,http://www.redfin.com/CA/Hayward/Motion-at-Mission-Crossing/Plan-3-Modeled/home/169130505,http://www.redfin.com/CA/Hayward/Motion-at-Mission-Crossing/Plan-3-Modeled/home/169130505,"37.6478013,-122.06487959999998",Motion at Mission Crossing,,3774,62.9,Active,,,NewHomeSource.com,Plan-111707850,N,Y
176,4387 Gem Ave,4387 Gem Ave,Castro Valley,Castro Valley,1 hour 22 mins,http://www.redfin.com/CA/Castro-Valley/4387-Gem-Ave-94546/home/827610,http://www.redfin.com/CA/Castro-Valley/4387-Gem-Ave-94546/home/827610,"37.6975806,-122.0591973",Castro Valley,,4939,82.31666666666666,Pre On-Market,,,Coming Soon,56481,N,Y
